Author,Book,URL,Previous Price,Current Price,Last Checked
Beaton M.C.,Agatha Raisin e la giardiniera invasata,https://www.amazon.it/gp/product/B008O620JG,"8,99 €","8,99 €",2025-07-01 21:33:22.900384
Beaton M.C.,Agatha Raisin e i Camminatori di Dembley,https://www.amazon.it/gp/product/B008DYJW2M,"3,99 €","3,99 €",2025-07-01 21:33:25.813621
Beaton M.C.,Agatha Raisin e il matrimonio assassino,https://www.amazon.it/gp/product/B00AA0VYMI,"8,99 €","8,99 €",2025-07-01 21:33:28.546635
Beaton M.C.,Agatha Raisin – La turista terribile,https://www.amazon.it/gp/product/B07J17JN9C,"8,99 €","8,99 €",2025-07-01 21:33:31.680041
Beaton M.C.,Agatha Raisin e la Sorgente della morte,https://www.amazon.it/gp/product/B00D6UWTOG,"8,99 €","8,99 €",2025-07-01 21:33:34.763950
Beaton M.C.,Agatha Raisin – Il mago di Evesham,https://www.amazon.it/gp/product/B07J1WNKL2,"8,99 €","8,99 €",2025-07-01 21:33:37.627285
Beaton M.C.,Agatha Raisin – La strega di Wyckhadden,https://www.amazon.it/gp/product/B00JPQU73A,"3,99 €","3,99 €",2025-07-01 21:33:40.544541
Beaton M.C.,Agatha Raisin – Le fate di Fryfam,https://www.amazon.it/gp/product/B00NFIFL1C,"3,99 €","3,99 €",2025-07-01 21:33:43.610778
Beaton M.C.,Agatha Raisin – I giorni del diluvio,https://www.amazon.it/gp/product/B00ZV3NBS4,"8,99 €","8,99 €",2025-07-01 21:33:46.380375
Beaton M.C.,Agatha Raisin - Il caso del curioso curato,https://www.amazon.it/gp/product/B016LAXXHE,"8,99 €","8,99 €",2025-07-01 21:33:49.280110
Beaton M.C.,Agatha Raisin – Il ballo mortale,https://www.amazon.it/gp/product/B01GFPDFUK,"8,99 €","8,99 €",2025-07-01 21:33:52.087109
Beaton M.C.,Agatha Raisin e il modello di virtù,https://www.amazon.it/gp/product/B01M6ZUSLT,"8,99 €","8,99 €",2025-07-01 21:33:55.075687
Beaton M.C.,Agatha Raisin – Amore bugie e liquori,https://www.amazon.it/gp/product/B06Y5T883G,"9,99 €","9,99 €",2025-07-01 21:33:58.193106
Beaton M.C.,Agatha Raisin. Natale addio!,https://www.amazon.it/gp/product/B075Y5FPGD,"9,99 €","9,99 €",2025-07-01 21:34:01.192228
Beaton M.C.,Agatha Raisin – Una cucchiaiata di veleno,https://www.amazon.it/gp/product/B0773LQBRL,"9,99 €","9,99 €",2025-07-01 21:34:04.108631
