Author,Title,URL
Agatha Christie,Poirot a Styles Court (Hercule Poirot Vol. 1),https://www.amazon.it/Poirot-Styles-Court-Agatha-Christie-ebook/dp/B00E4ZZ7T6
Agatha Christie,"Aiuto, Poirot! (Hercule Poirot Vol. 2)",https://www.amazon.it/Aiuto-Poirot-Oscar-scrittori-moderni-ebook/dp/B005SZ7TIS
Agatha Christie,L'assassinio di Roger Ackroyd (Hercule Poirot Vol. 4),https://www.amazon.it/Lassassinio-Roger-Ackroyd-scrittori-moderni-ebook/dp/B005SZ4ARQ
Agatha Christie,Poirot e i quattro (Hercule Poirot Vol. 5),https://www.amazon.it/Poirot-i-quattro-Agatha-Christie-ebook/dp/B00ZSYNXYI
Agatha Christie,Il mistero del Treno Azzurro (Hercule Poirot Vol. 6),https://www.amazon.it/mistero-Treno-Azzurro-scrittori-moderni-ebook/dp/B005SZ52MI
Agatha Christie,Il pericolo senza nome (Hercule Poirot Vol. 8),https://www.amazon.it/pericolo-senza-Oscar-scrittori-moderni-ebook/dp/B00CC3XYO2
Agatha Christie,Se morisse mio marito (Il Giallo Mondadori) (Hercule Poirot Vol. 9),https://www.amazon.it/morisse-mio-marito-Giallo-Mondadori-ebook/dp/B00ZSYNWL2
Agatha Christie,Tragedia in tre atti (Hercule Poirot Vol. 11),https://www.amazon.it/Tragedia-tre-atti-Agatha-Christie-ebook/dp/B00X6M93CK
Agatha Christie,Delitto in cielo (Hercule Poirot Vol. 12),https://www.amazon.it/Delitto-cielo-Oscar-scrittori-moderni-ebook/dp/B005SZ54GC
Agatha Christie,La serie infernale (Hercule Poirot Vol. 13),https://www.amazon.it/serie-infernale-Agatha-Christie-ebook/dp/B00TRNHQCG
Agatha Christie,Assassinio sull'Orient Express (Hercule Poirot Vol. 14),https://www.amazon.it/Assassinio-sullOrient-Express-Oscar-gialli-ebook/dp/B005SZ54A8
Agatha Christie,Non c'è più scampo (Hercule Poirot Vol. 14),https://www.amazon.it/scampo-Oscar-scrittori-moderni-Vol-ebook/dp/B005SZ7TCY
Agatha Christie,Carte in tavola (Hercule Poirot Vol. 15),https://www.amazon.it/Carte-tavola-Oscar-scrittori-moderni-ebook/dp/B005SZ526Y
Agatha Christie,Poirot sul Nilo (Hercule Poirot Vol. 18),https://www.amazon.it/Poirot-Nilo-Oscar-scrittori-moderni-ebook/dp/B005SZ52V4
Agatha Christie,La domatrice (Hercule Poirot Vol. 19),https://www.amazon.it/domatrice-Agatha-Christie-ebook/dp/B00W6EHSQM
Agatha Christie,Il Natale di Poirot (Hercule Poirot Vol. 20),https://www.amazon.it/Natale-Poirot-Oscar-scrittori-moderni-ebook/dp/B005SZ7TII
Agatha Christie,La parola alla difesa (Hercule Poirot Vol. 22),https://www.amazon.it/parola-difesa-Oscar-scrittori-moderni-ebook/dp/B00CC3XYM4
Agatha Christie,Poirot non sbaglia (Hercule Poirot Vol. 23),https://www.amazon.it/Poirot-sbaglia-Oscar-scrittori-moderni-ebook/dp/B005SZ57BY
Agatha Christie,Corpi al sole (Hercule Poirot Vol. 24),https://www.amazon.it/Corpi-sole-Oscar-scrittori-moderni-ebook/dp/B00CC3XZ78
Agatha Christie,Il ritratto di Elsa Greer (Hercule Poirot Vol. 25),https://www.amazon.it/ritratto-Greer-Oscar-scrittori-moderni-ebook/dp/B005SZ521O
Agatha Christie,Poirot e la salma (Hercule Poirot Vol. 26),https://www.amazon.it/Poirot-salma-Oscar-scrittori-moderni-ebook/dp/B005SZ483M
Agatha Christie,Le fatiche di Hercule (Hercule Poirot Vol. 27),https://www.amazon.it/fatiche-Hercule-Agatha-Christie-ebook/dp/B00WLCBX38
Agatha Christie,Dopo le esequie (Hercule Poirot Vol. 33),https://www.amazon.it/Dopo-esequie-Agatha-Christie-ebook/dp/B00W6EHRHM
Agatha Christie,Poirot si annoia (Hercule Poirot Vol. 34),https://www.amazon.it/Poirot-annoia-Oscar-scrittori-moderni-ebook/dp/B00CC3XYYM
Agatha Christie,La sagra del delitto (Hercule Poirot Vol. 35),https://www.amazon.it/sagra-del-delitto-Agatha-Christie-ebook/dp/B00W6EHTHK
Agatha Christie,Macabro quiz (Hercule Poirot Vol. 36),https://www.amazon.it/Macabro-quiz-Oscar-scrittori-moderni-ebook/dp/B005U9VLAE
Agatha Christie,Il caso del dolce di Natale: e altre storie (Hercule Poirot Vol. 37),https://www.amazon.it/caso-del-dolce-Natale-scrittori-ebook/dp/B00BB2G3TS
Agatha Christie,Appuntamento con la paura (Hercule Poirot Vol. 38),https://www.amazon.it/Appuntamento-paura-Oscar-scrittori-moderni-ebook/dp/B005SZ
Agatha Christie,Sfida a Poirot (Hercule Poirot Vol. 39),https://www.amazon.it/Sfida-Poirot-Oscar-scrittori-moderni-ebook/dp/B005SZ7YF6
Agatha Christie,Sono un'assassina? (Hercule Poirot Vol. 40),https://www.amazon.it/Sono-unassassina-Agatha-Christie-ebook/dp/B07SCKF6HT
Agatha Christie,Gli elefanti hanno buona memoria (Hercule Poirot Vol. 42),https://www.amazon.it/Gli-elefanti-hanno-buona-memoria-ebook/dp/B00GBKBSSQ
Agatha Christie,I primi casi di Poirot (Hercule Poirot Vol. 43),https://www.amazon.it/primi-Poirot-Oscar-scrittori-moderni-ebook/dp/B00CC3XYUQ
Agatha Christie,"Sipario, l'ultima avventura di Poirot (Hercule Poirot Vol. 44)",https://www.amazon.it/Sipario-lultima-avventura-Poirot-Christie-ebook/dp/B00ZSYNUN2
Agatha Christie,La morte nel villaggio (Miss Marple Vol. 1),https://www.amazon.it/morte-villaggio-Oscar-scrittori-moderni-ebook/dp/B005SZ492C
Agatha Christie,C'è un cadavere in biblioteca (Miss Marple Vol. 2),https://www.amazon.it/cadavere-biblioteca-Oscar-scrittori-moderni-ebook/dp/B005SZ7SR0
Agatha Christie,Il terrore viene per posta (Miss Marple Vol. 3),https://www.amazon.it/terrore-viene-posta-scrittori-moderni-ebook/dp/B005UKSAXE
Agatha Christie,Un delitto avrà luogo (Miss Marple Vol. 4),https://www.amazon.it/delitto-avr%C3%A0-luogo-Agatha-Christie-ebook/dp/B00GOIG4X4
Agatha Christie,Polvere negli occhi (Miss Marple Vol. 6),https://www.amazon.it/Polvere-negli-occhi-Agatha-Christie-ebook/dp/B00GBKBSTU
Agatha Christie,Istantanea di un delitto (Miss Marple Vol. 7),https://www.amazon.it/Istantanea-delitto-Oscar-scrittori-moderni-ebook/dp/B005SZ7XY8
Agatha Christie,Assassinio allo specchio: Silenzio: si uccide (Miss Marple Vol. 8),https://www.amazon.it/Assassinio-allo-specchio-Silenzio-uccide-ebook/dp/B00ZSYNXMK
Agatha Christie,Nemesi (Miss Marple Vol. 11),https://www.amazon.it/Nemesi-Agatha-Christie-ebook/dp/B00FQEB61C
