Author,Title,URL,Previous Price,Current Price,Last Checked
Agatha Christie,Poirot a Styles Court (Hercule Poirot Vol. 1),https://www.amazon.it/Poirot-Styles-Court-Agatha-Christie-ebook/dp/B00E4ZZ7T6,"7,99 €","7,99 €",2025-07-02 06:59:50.815768
Agatha Christie,"Aiuto, Poirot! (Hercule Poirot Vol. 2)",https://www.amazon.it/Aiuto-Poirot-Oscar-scrittori-moderni-ebook/dp/B005SZ7TIS,,"7,99 €",2025-07-02 06:59:56.235898
Agatha Christie,L'assassinio di Roger Ackroyd (Hercule Poirot Vol. 4),https://www.amazon.it/Lassassinio-Roger-Ackroyd-scrittori-moderni-ebook/dp/B005SZ4ARQ,"7,99 €","7,99 €",2025-07-02 07:00:01.433227
Agatha Christie,Poirot e i quattro (Hercule Poirot Vol. 5),https://www.amazon.it/Poirot-i-quattro-Agatha-Christie-ebook/dp/B00ZSYNXYI,,"7,99 €",2025-07-02 07:00:06.540064
Agatha Christie,Il mistero del Treno Azzurro (Hercule Poirot Vol. 6),https://www.amazon.it/mistero-Treno-Azzurro-scrittori-moderni-ebook/dp/B005SZ52MI,,"3,99 €",2025-07-02 07:00:11.480257
Agatha Christie,Il pericolo senza nome (Hercule Poirot Vol. 8),https://www.amazon.it/pericolo-senza-Oscar-scrittori-moderni-ebook/dp/B00CC3XYO2,"7,99 €","7,99 €",2025-07-02 07:00:16.495039
Agatha Christie,Se morisse mio marito (Il Giallo Mondadori) (Hercule Poirot Vol. 9),https://www.amazon.it/morisse-mio-marito-Giallo-Mondadori-ebook/dp/B00ZSYNWL2,"3,99 €","3,99 €",2025-07-02 07:00:21.449261
Agatha Christie,Tragedia in tre atti (Hercule Poirot Vol. 11),https://www.amazon.it/Tragedia-tre-atti-Agatha-Christie-ebook/dp/B00X6M93CK,"7,99 €","7,99 €",2025-07-02 07:00:26.389230
Agatha Christie,Delitto in cielo (Hercule Poirot Vol. 12),https://www.amazon.it/Delitto-cielo-Oscar-scrittori-moderni-ebook/dp/B005SZ54GC,"7,99 €","7,99 €",2025-07-02 07:00:31.365777
Agatha Christie,La serie infernale (Hercule Poirot Vol. 13),https://www.amazon.it/serie-infernale-Agatha-Christie-ebook/dp/B00TRNHQCG,"6,99 €","6,99 €",2025-07-02 07:00:36.298247
Agatha Christie,Assassinio sull'Orient Express (Hercule Poirot Vol. 14),https://www.amazon.it/Assassinio-sullOrient-Express-Oscar-gialli-ebook/dp/B005SZ54A8,"7,99 €","7,99 €",2025-07-02 07:00:41.391915
Agatha Christie,Non c'è più scampo (Hercule Poirot Vol. 14),https://www.amazon.it/scampo-Oscar-scrittori-moderni-Vol-ebook/dp/B005SZ7TCY,"7,99 €","7,99 €",2025-07-02 07:00:46.559561
Agatha Christie,Carte in tavola (Hercule Poirot Vol. 15),https://www.amazon.it/Carte-tavola-Oscar-scrittori-moderni-ebook/dp/B005SZ526Y,"7,99 €","7,99 €",2025-07-02 07:00:51.592200
Agatha Christie,Poirot sul Nilo (Hercule Poirot Vol. 18),https://www.amazon.it/Poirot-Nilo-Oscar-scrittori-moderni-ebook/dp/B005SZ52V4,"7,99 €","7,99 €",2025-07-02 07:00:56.659706
Agatha Christie,La domatrice (Hercule Poirot Vol. 19),https://www.amazon.it/domatrice-Agatha-Christie-ebook/dp/B00W6EHSQM,"7,99 €","7,99 €",2025-07-02 07:01:01.613280
